ID,Date,Year,season,Round,Region,F.Rate,F.Rank,F.Seed,F.Team,F.Score,U.Rate,U.Rank,U.Seed,U.Team,U.Score,Overtime,MV,SeD,Upset
202,17-Mar-05,2005,2004-05,1,South,20.43,19,7,Cincinnati,76,17.17,27,10,Iowa,64,,12,3,
203,17-Mar-05,2005,2004-05,1,West,22.18,14,1,Washington,88,-2.73,194,16,Montana,77,,11,15,
204,17-Mar-05,2005,2004-05,1,West,24.86,8,2,Wake Forest,70,0.03,165,15,Chattanooga,54,,16,13,
205,17-Mar-05,2005,2004-05,1,West,17.88,26,3,Gonzaga,74,4.97,108,14,Winthrop,64,,10,11,
206,17-Mar-05,2005,2004-05,1,West,15.47,32,6,Texas Tech,78,10.74,68,11,UCLA,66,,12,5,
207,17-Mar-05,2005,2004-05,1,West,15,35,7,West Virginia,63,14.33,39,10,Creighton,61,,2,3,
208,17-Mar-05,2005,2004-05,1,West,18.41,24,9,Pittsburgh,71,14.08,40,8,Pacific,79,,8,1,
209,17-Mar-05,2005,2004-05,1,Midwest,17.01,28,8,Texas,57,12.11,55,9,Nevada,61,,4,-1,
210,18-Mar-05,2005,2004-05,1,East,23.08,11,3,Kansas,63,6.69,95,14,Bucknell,64,,1,-11,14 over 3
211,18-Mar-05,2005,2004-05,1,South,20.98,16,4,Syracuse,57,13.53,43,13,Vermont,60,1 OT,3,-9,13 over 4
212,18-Mar-05,2005,2004-05,1,East,32.77,1,1,North Carolina,96,-1.2,178,16,Oakland,68,,28,15,
213,18-Mar-05,2005,2004-05,1,East,21.94,15,2,Connecticut,77,-2.56,192,15,UCF,71,,6,13,
214,18-Mar-05,2005,2004-05,1,East,23.93,10,4,Florida,67,8.29,85,13,Ohio,62,,5,9,
215,18-Mar-05,2005,2004-05,1,East,25.02,7,5,Villanova,55,15.54,31,12,New Mexico,47,,8,7,
