Year,Round,Fseed,Favored,Fscore,Useed,Underdog,Uscore,Winner
2008,1,1,North Carolina,113,16,Mount St. Mary's,74,North Carolina
2008,1,2,Tennessee,72,15,American,57,Tennessee
2008,1,3,Louisville,79,14,Boise St.,61,Louisville
2008,1,6,Oklahoma,72,11,Saint Joseph's,64,Oklahoma
2008,1,7,Butler,81,10,South Alabama,61,Butler
2008,1,2,Georgetown,66,15,UMBC,47,Georgetown
2008,1,1,Memphis,87,16,UT Arlington,63,Memphis
2008,1,2,Texas,74,15,Austin Peay,54,Texas
2008,1,7,Miami FL,78,10,Saint Mary's,64,Miami FL
2008,1,8,Mississippi St.,76,9,Oregon,69,Mississippi St.
2008,1,8,Indiana,72,9,Arkansas,86,Arkansas
2008,2,2,Duke,67,7,West Virginia,73,West Virginia
2008,2,4,Washington St.,61,5,Notre Dame,41,Washington St.
2008,2,1,Kansas,75,8,UNLV,56,Kansas
2008,2,3,Wisconsin,72,11,Kansas St.,55,Wisconsin
2008,2,3,Stanford,82,6,Marquette,81,Stanford
2008,2,1,UCLA,53,9,Texas A&M,49,UCLA
2008,2,3,Xavier,85,6,Purdue,78,Xavier
2008,2,5,Michigan St.,65,4,Pittsburgh,54,Michigan St.
2008,2,2,Georgetown,70,10,Davidson,74,Davidson
2008,2,1,North Carolina,108,9,Arkansas,77,North Carolina
2008,2,2,Tennessee,76,7,Butler,71,Tennessee
2008,2,3,Louisville,78,6,Oklahoma,48,Louisville
2008,2,12,Villanova,84,13,Siena,72,Villanova
2008,2,1,Memphis,77,8,Mississippi St.,74,Memphis
2008,2,2,Texas,75,7,Miami FL,72,Texas
2008,2,12,Western Kentucky,72,13,San Diego,63,Western Kentucky
2008,3,1,North Carolina,68,4,Washington St.,47,North Carolina
2008,3,1,UCLA,88,12,Western Kentucky,78,UCLA
2008,3,3,Xavier,79,7,West Virginia,75,Xavier
2008,3,3,Louisville,79,2,Tennessee,60,Louisville
2008,3,3,Wisconsin,56,10,Davidson,73,Davidson
2008,3,1,Kansas,72,12,Villanova,57,Kansas
2008,3,1,Memphis,92,5,Michigan St.,74,Memphis
2008,3,2,Texas,82,3,Stanford,62,Texas
2008,4,1,North Carolina,83,3,Louisville,73,North Carolina
2008,4,1,UCLA,76,3,Xavier,57,UCLA
2008,4,1,Kansas,59,10,Davidson,57,Kansas
2008,4,1,Memphis,85,2,Texas,67,Memphis
2008,5,1,Kansas,84,1,North Carolina,66,Kansas
2008,5,1,Memphis,78,1,UCLA,63,Memphis
2008,6,1,Kansas,75,1,Memphis,68,Kansas
2009,PI,16,Morehead St.,58,16,Alabama St.,43,Morehead St.
